value,description,altLabels
Abwassergrubenwärterin,"Abwassergrubenwärter reinigen und warten septische Systeme. Sie reparieren Schäden und Störungen und sorgen dafür, dass die Gruben gereinigt und gewartet werden. Dabei verwenden sie im Einklang mit Sicherheitsverfahren Wartungs- und Reinigungsmaschinen.",Abwassergrubenwärter
Abwasserleitungsinstallateur,"Abwasserleitungsinstallateure installieren und warten Rohrleitungen, Ventile und andere Elemente, die in Abwassersystemen verwendet werden. Sie analysieren die Bauweise und sorgen dafür, dass das Abwassersystem ordnungsgemäß installiert wird. Außerdem führen sie Wartungs- und Reparaturarbeiten aus.",Spengler|Spenglerin|Wasserinstallateurin|Sanitärmonteur|Sanitärinstallateurin|Sanitärinstallateur|Abwasserleitungsinstallateurin|Wasserinstallateur|Sanitärmonteurin
Abwasserleitungsinstallateurin,"Abwasserleitungsinstallateure installieren und warten Rohrleitungen, Ventile und andere Elemente, die in Abwassersystemen verwendet werden. Sie analysieren die Bauweise und sorgen dafür, dass das Abwassersystem ordnungsgemäß installiert wird. Außerdem führen sie Wartungs- und Reparaturarbeiten aus.",Spengler|Spenglerin|Wasserinstallateurin|Sanitärmonteur|Sanitärinstallateurin|Sanitärinstallateur|Abwasserleitungsinstallateur|Wasserinstallateur|Sanitärmonteurin
Abwasserrecyclingfachkraft,"Abwasserrecyclingfachkräfte installieren Systeme zur Rückgewinnung, Filterung, Speicherung und Verteilung von Wasser aus verschiedenen Quellen, wie Regenwasser und häusliches Grauwasser.",Abwasserentsorgungsfachfrau|Abwasserentsorgungsfachmann|Beauftragter für Abwasserreinigungsanlagen|Umwelttechniker im Bereich Abwasserrecycling|Klärwart|Entsorgungs- und Recyclingfachfrau für Abwasser|Kläranlagenbetreuerin|Entsorgungs- und Recyclingfachmann für Abwasser|Umwelttechnikerin im Bereich Abwasserrecycling|Beauftragte für Abwasserreinigungsanlagen|Klärwartin|Kläranlagenbetreuer
Änderungschneider,Änderungsschneider gewährleisten die Änderung fertiger Kleidungsstücke entsprechend den Geschäftsanforderungen. Sie tragen die Verantwortung für die Qualität von Änderungen oder Anpassungen und kennzeichnen den allgemeinen Bestand entsprechend den Markenleitlinien des Kunden.,Änderungsschneider|Änderungsschneiderin
Änderungsschneiderin,Änderungsschneider gewährleisten die Änderung fertiger Kleidungsstücke entsprechend den Geschäftsanforderungen. Sie tragen die Verantwortung für die Qualität von Änderungen oder Anpassungen und kennzeichnen den allgemeinen Bestand entsprechend den Markenleitlinien des Kunden.,Änderungsschneider
Ärztin für Allgemeinmedizin,"Ärzte für Allgemeinmedizin/Ärztinnen für Allgemeinmedizin fördern die Gesundheit, beugen gesundheitlichen Beschwerden vor, identifizieren gesundheitliche Beschwerden, diagnostizieren und behandeln Erkrankungen und fördern die Genesung körperlicher und psychischer Krankheiten und Störungen aller Art, unabhängig vom Alter, dem Geschlecht oder den Beschwerden der Betroffenen.",Arzt für Allgemeinmedizin
Agrartechniker,Agrartechniker führen Experimente und Tests in Bezug auf die Landwirtschaft und auf Arten in Aquakulturen durch. Sie unterstützen Wissenschaftler und Landwirte. Außerdem analysieren sie die Umgebung der gesammelten Proben oder berichten über ihre Ergebnisse.,Agrartechnikerin
Agrartechnikerin,Agrartechniker führen Experimente und Tests in Bezug auf die Landwirtschaft und auf Arten in Aquakulturen durch. Sie unterstützen Wissenschaftler und Landwirte. Außerdem analysieren sie die Umgebung der gesammelten Proben oder berichten über ihre Ergebnisse.,Agrartechniker
Agrarwissenschaftler,"Agrarwissenschaftler/Agrarwissenschaftlerinnen erforschen den Boden, Tiere und Pflanzen, um landwirtschaftliche Prozesse, die Qualität landwirtschaftlicher Erzeugnisse oder Umweltauswirkungen der Landwirtschaft zu verbessern. Sie planen für und implementieren Projekte wie Entwicklungsprojekte für Kunden oder Institutionen.",Landwirtschaftswissenschaftlerin|Landwirtschaftswissenschaftler|Agrarwissenschaftlerin|Agrarforscherin|Agrarforscher|Techniker für Agrarbioökonomie|Technikerin für Agrarbioökonomie
Agrarwissenschaftlerin,"Agrarwissenschaftler/Agrarwissenschaftlerinnen erforschen den Boden, Tiere und Pflanzen, um landwirtschaftliche Prozesse, die Qualität landwirtschaftlicher Erzeugnisse oder Umweltauswirkungen der Landwirtschaft zu verbessern. Sie planen für und implementieren Projekte wie Entwicklungsprojekte für Kunden oder Institutionen.",Landwirtschaftswissenschaftlerin|Agrarwissenschaftler|Landwirtschaftswissenschaftler|Agrarforscherin|Agrarforscher|Techniker für Agrarbioökonomie|Technikerin für Agrarbioökonomie
