value,description,altLabels
Diplomat,Diplomaten/Diplomatinnen vertreten ihr Land und dessen Regierung gegenüber internationalen Organisationen. Sie verhandeln mit den Beamten/Beamtinnen der Einrichtung über die Wahrung der Interessen ihres Herkunftslands und fördern den produktiven und freundlichen Austausch zwischen dem Herkunftsland und der internationalen Organisation.,Diplomatin
Diplomatin,Diplomaten/Diplomatinnen vertreten ihr Land und dessen Regierung gegenüber internationalen Organisationen. Sie verhandeln mit den Beamten/Beamtinnen der Einrichtung über die Wahrung der Interessen ihres Herkunftslands und fördern den produktiven und freundlichen Austausch zwischen dem Herkunftsland und der internationalen Organisation.,Diplomat
Direktor einer Maklergesellschaft,"Direktoren von Maklergesellschaften/Direktorinnen von Maklergesellschaften organisieren den Wertpapierhandel und die daran beteiligten Personen. Sie sehen Strategien zur Steigerung der Effizienz des Handels vor, wobei der Schwerpunkt auf der Rentabilität liegt. Zudem können sie Kundinnen/Kunden zu geeigneten Wertpapiergeschäften beraten.",Direktorin einer Maklergesellschaft|Direktorin einer Maklerfirma|Direktor einer Maklerfirma
Direktor eines Jugendprogramms,"Direktoren von Jugendprogrammen/Direktorinnen von Jugendprogrammen entwickeln und implementieren Programme und Strategien, um das Wohlbefinden junger Menschen zu verbessern und zu gewährleisten. Sie erleichtern die Kommunikation mit und zwischen Bildungs-, Erholungs-, Beratungs- und anderen Jugendeinrichtungen, organisieren Veranstaltungen für Jugendliche und Familien und fördern die soziale Mobilität und Sensibilisierung.",Direktorin eines Jugendprogramms
Direktor für Compliance und Informationssicherheit,"Direktoren für Compliance und Informationssicherheit/Direktorinnen für Compliance und Informationssicherheit überwachen die Einhaltung aller Vorschriften, die die Sicherheit aller elektronischen Informationen gewährleisten sollen.",Cyber-Rechtsberater|Leiter Compliance und Informationssicherheit|Direktor für Richtlinien und Informationssicherheit|Legal Compliance-Beauftragter|Compliance-Manager|Compliance- und Informationssicherheitsmanager|IKT-Compliance-Manager|Berater für Cyberrecht|Rechtsbeauftragter für Cybersicherheit|Compliance-Managerin|Direktorin für Richtlinien und Informationssicherheit|Manager für Compliance und Informationssicherheit|Direktor für Cybersicherheits-Compliance|Legal Compliance-Beauftragte|Rechtsreferent für Cybersicherheit|IT-Compliance-Manager
Direktor für Richtlinien und Informationssicherheit beim Glücksspiel,"Direktoren für Richtlinien und Informationssicherheit beim Glücksspiel/Direktorinnen für Richtlinien und Informationssicherheit beim Glücksspiel sorgen für die Einhaltung der aufsichtsrechtlichen Vorschriften für Glücksspiele und überwachen die Informationssicherheit, um die sichere Nutzung der gesamten Glücksspieltechnologie zu gewährleisten.",Direktorin für Richtlinien und Informationssicherheit beim Glücksspiel
Direktorin einer Maklergesellschaft,"Direktoren von Maklergesellschaften/Direktorinnen von Maklergesellschaften organisieren den Wertpapierhandel und die daran beteiligten Personen. Sie sehen Strategien zur Steigerung der Effizienz des Handels vor, wobei der Schwerpunkt auf der Rentabilität liegt. Zudem können sie Kundinnen/Kunden zu geeigneten Wertpapiergeschäften beraten.",Direktorin einer Maklerfirma|Direktor einer Maklerfirma|Direktor einer Maklergesellschaft
Direktorin eines Jugendprogramms,"Direktoren von Jugendprogrammen/Direktorinnen von Jugendprogrammen entwickeln und implementieren Programme und Strategien, um das Wohlbefinden junger Menschen zu verbessern und zu gewährleisten. Sie erleichtern die Kommunikation mit und zwischen Bildungs-, Erholungs-, Beratungs- und anderen Jugendeinrichtungen, organisieren Veranstaltungen für Jugendliche und Familien und fördern die soziale Mobilität und Sensibilisierung.",Direktor eines Jugendprogramms
Direktorin für Compliance und Informationssicherheit,"Direktoren für Compliance und Informationssicherheit/Direktorinnen für Compliance und Informationssicherheit überwachen die Einhaltung aller Vorschriften, die die Sicherheit aller elektronischen Informationen gewährleisten sollen.",Cyber-Rechtsberater|Leiter Compliance und Informationssicherheit|Direktor für Richtlinien und Informationssicherheit|Legal Compliance-Beauftragter|Direktor für Compliance und Informationssicherheit|Compliance-Manager|Compliance- und Informationssicherheitsmanager|IKT-Compliance-Manager|Berater für Cyberrecht|Rechtsbeauftragter für Cybersicherheit|Compliance-Managerin|Direktorin für Richtlinien und Informationssicherheit|Manager für Compliance und Informationssicherheit|Direktor für Cybersicherheits-Compliance|Legal Compliance-Beauftragte|Rechtsreferent für Cybersicherheit|IT-Compliance-Manager
Direktorin für Richtlinien und Informationssicherheit beim Glücksspiel,"Direktoren für Richtlinien und Informationssicherheit beim Glücksspiel/Direktorinnen für Richtlinien und Informationssicherheit beim Glücksspiel sorgen für die Einhaltung der aufsichtsrechtlichen Vorschriften für Glücksspiele und überwachen die Informationssicherheit, um die sichere Nutzung der gesamten Glücksspieltechnologie zu gewährleisten.",Direktor für Richtlinien und Informationssicherheit beim Glücksspiel
Dirigent,"Dirigenten/Dirigentinnen leiten Ensembles von Musikern bei Proben, im Tonstudio und bei Aufführungen und helfen ihnen, ihr volles Potenzial zu entfalten. Sie arbeiten mit ganz unterschiedlichen Ensembles, z. B Chören und Orchestern. Dirigenten steuern das Tempo, den Rhythmus, die Dynamik (laut oder leise) und die Artikulation (nahtlos oder mit Klangpausen) der Musik durch Gesten und manchmal auch durch tänzelnde Bewegungen, um die Musiker auf die Partitur zu orientieren.",Dirigentin
Dirigentin,"Dirigenten/Dirigentinnen leiten Ensembles von Musikern bei Proben, im Tonstudio und bei Aufführungen und helfen ihnen, ihr volles Potenzial zu entfalten. Sie arbeiten mit ganz unterschiedlichen Ensembles, z. B Chören und Orchestern. Dirigenten steuern das Tempo, den Rhythmus, die Dynamik (laut oder leise) und die Artikulation (nahtlos oder mit Klangpausen) der Musik durch Gesten und manchmal auch durch tänzelnde Bewegungen, um die Musiker auf die Partitur zu orientieren.",Dirigent
Diskjockey,"Diskjockeys mixen Musik aus verschiedenen Quellen mithilfe von Plattenspielern oder einer Mischkonsole und spielen diese Musik bei Veranstaltungen vor einem Live-Publikum. Bisweilen gestalten sie auch Musiksendungen im Radio. Dann wählen sie die Musik aus und stellen sicher, dass sie planmäßig gesendet wird. Bisweilen mixen Diskjockeys auch Musik, deren Aufnahmen anschließend verkauft oder abgespielt werden.",Discjockey|DJ|sheDJ|DJane
Dividendenanalyst,"Dividendenanalysten/Dividendenanalystinnen berechnen und verteilen Dividenden und Zinseinkünfte einer Gesellschaft an eine Anteilinhaberkategorie. Sie bewerten die Unternehmenssysteme und -verfahren, um Nutzerbedürfnisse zu ermitteln und geeignete Lösungen zu finden. Darüber hinaus erstellen sie auf der Grundlage ihres Finanz- und Marktpreisfachwissens Prognosen zu den Dividendenhöhen und -auszahlungsterminen und identifizieren potenzielle Risiken.",Kuponanalyst|Dividendenanalystin|Kuponanalystin
Dividendenanalystin,"Dividendenanalysten/Dividendenanalystinnen berechnen und verteilen Dividenden und Zinseinkünfte einer Gesellschaft an eine Anteilinhaberkategorie. Sie bewerten die Unternehmenssysteme und -verfahren, um Nutzerbedürfnisse zu ermitteln und geeignete Lösungen zu finden. Darüber hinaus erstellen sie auf der Grundlage ihres Finanz- und Marktpreisfachwissens Prognosen zu den Dividendenhöhen und -auszahlungsterminen und identifizieren potenzielle Risiken.",Dividendenanalyst|Kuponanalyst|Kuponanalystin
Dokumentationsfachkraft,"Dokumentationsfachkräfte sind für Aufzeichnungen über ein Unternehmen und für die Verwaltung von Formularen und Informationen zuständig. Sie ordnen Dokumente, rufen sie bei Bedarf ab und sorgen für ein effizient funktionierendes System.",Sachbearbeiterin in der Dokumentation|Sachbearbeiter in der Dokumentation|Karteiführerin|Karteibearbeiter|Digitalisierungsassistent|Kopierkraft|Karteiführer|Kopist|Kopistin|Karteibearbeiterin
Dokumentationsmanager,"Dokumentationsmanager/Dokumentationsmanagerinnen sind für die Verwaltung der Dokumentation in Einklang mit rechtlichen Anforderungen und Standards sowie mit Unternehmensstrategien und -zielen zuständig. Sie planen, kontrollieren und lenken die Ressourcen, Personen, Finanzmittel und Einrichtungen der Dokumentationsabteilung (einschließlich der Budgeterstellung und Fristenfestlegung, der Risikoanalyse und des Qualitätsmanagements). Darüber hinaus entwickeln sie Dokumentationsstandards, Strukturierungsmethoden und Medienkonzepte, um wirksam über Produktkonzepte und Produktnutzung zu kommunizieren.",IT-Dokumentationsmanagerin|Dokumentationsmanagerin|IT-Dokumentationsmanager|Dokumentationsmanager im Bereich IKT|Dokumentationsmanagerin im Bereich IKT
Dokumentationsmanagerin,"Dokumentationsmanager/Dokumentationsmanagerinnen sind für die Verwaltung der Dokumentation in Einklang mit rechtlichen Anforderungen und Standards sowie mit Unternehmensstrategien und -zielen zuständig. Sie planen, kontrollieren und lenken die Ressourcen, Personen, Finanzmittel und Einrichtungen der Dokumentationsabteilung (einschließlich der Budgeterstellung und Fristenfestlegung, der Risikoanalyse und des Qualitätsmanagements). Darüber hinaus entwickeln sie Dokumentationsstandards, Strukturierungsmethoden und Medienkonzepte, um wirksam über Produktkonzepte und Produktnutzung zu kommunizieren.",IT-Dokumentationsmanagerin|Dokumentationsmanager|IT-Dokumentationsmanager|Dokumentationsmanager im Bereich IKT|Dokumentationsmanagerin im Bereich IKT
Dolmetscher,"Dolmetscher übertragen gesprochene Kommunikation in eine andere Sprache. Sie behalten erhebliche Informationsmengen im Gedächtnis, oft mithilfe von Notizen, und geben sie unmittelbar wieder. Dabei werden die Nuancen und Gewichtungen der ursprünglichen Aussage in der Zielsprache beibehalten.",Konsekutivdolmetscher|Simultandolmetscher|Wirtschaftsdolmetscherin|Simultandolmetscherin|Konsekutivdolmetscherin|Konferenzdolmetscher|Wirtschaftsdolmetscher|Dolmetscherin|Konferenzdolmetscherin
Dolmetscherin,"Dolmetscher übertragen gesprochene Kommunikation in eine andere Sprache. Sie behalten erhebliche Informationsmengen im Gedächtnis, oft mithilfe von Notizen, und geben sie unmittelbar wieder. Dabei werden die Nuancen und Gewichtungen der ursprünglichen Aussage in der Zielsprache beibehalten.",Konsekutivdolmetscher|Simultandolmetscher|Wirtschaftsdolmetscherin|Simultandolmetscherin|Konsekutivdolmetscherin|Konferenzdolmetscher|Wirtschaftsdolmetscher|Dolmetscher|Konferenzdolmetscherin
Dosen- und Flaschenabfüllanlagenbediener,"Dosen- und Flaschenabfüllanlagenbediener/innen beobachten Flaschen und Dosen, die während des Herstellungsverfahrens vorbeiziehen. Sie stehen in der Nähe der Förderbänder, um sicherzustellen, dass die Flaschen auf die Standardhöhe gefüllt sind und es keine größeren Abweichungen gibt. Sie entsorgen fehlerhafte Flaschen oder Dosen.",Dosen- und Flaschenabfüllmaschinenbediener|Dosen- und Flaschenabfüllanlagenbedienerin|Dosen-und Flaschenabfüllmaschinenbedienerin
Dosen- und Flaschenabfüllanlagenbedienerin,"Dosen- und Flaschenabfüllanlagenbediener/innen beobachten Flaschen und Dosen, die während des Herstellungsverfahrens vorbeiziehen. Sie stehen in der Nähe der Förderbänder, um sicherzustellen, dass die Flaschen auf die Standardhöhe gefüllt sind und es keine größeren Abweichungen gibt. Sie entsorgen fehlerhafte Flaschen oder Dosen.",Dosen- und Flaschenabfüllmaschinenbediener|Dosen- und Flaschenabfüllanlagenbediener|Dosen-und Flaschenabfüllmaschinenbedienerin
Drahtzieher,"Drahtzieher übernehmen die Einrichtung und Bedienung von Drahtziehmaschinen, die für die Herstellung von Metalldrahtgewebe aus Legierungen oder dehnbarem Metall, der sich zu Draht ziehen lässt, konstruiert sind.",Drahtzieherin|Drahtspinnerin|Drahtwickler|Drahtseilmacherin|Drahtschlosserin|Drahtwicklerin|Drahtschlosser|Drahtseilerin|Drahtwarenmacher|Drahtseiler|Drahtseilmacher|Drahtverfomerin|Drahtspinner|Drahtweberin|Drahtverformer|Drahtflechterin|Drahtwalzerin|Drahtwarenmacherin|Drahtwalzer|Drahtflechter|Drahtweber
Drahtzieherin,"Drahtzieher übernehmen die Einrichtung und Bedienung von Drahtziehmaschinen, die für die Herstellung von Metalldrahtgewebe aus Legierungen oder dehnbarem Metall, der sich zu Draht ziehen lässt, konstruiert sind.",Drahtzieher|Drahtspinnerin|Drahtwickler|Drahtseilmacherin|Drahtschlosserin|Drahtwicklerin|Drahtschlosser|Drahtseilerin|Drahtwarenmacher|Drahtseiler|Drahtseilmacher|Drahtverfomerin|Drahtspinner|Drahtweberin|Drahtverformer|Drahtflechterin|Drahtwalzerin|Drahtwarenmacherin|Drahtwalzer|Drahtflechter|Drahtweber
Drainagearbeiter,"Drainagearbeiter übernehmen den Aufbau und die Wartung von Drainage- und Entwässerungssystemen. Sie verlegen Rohre oder Leitungen, um den Boden einer bestimmten Struktur zu trocknen und damit drohendes Grundwasser abzuhalten. Diese Arbeiten erfolgen in der Regel unter Straßenbelag und in Kellern.",Drainagearbeiterin
Drainagearbeiterin,"Drainagearbeiter übernehmen den Aufbau und die Wartung von Drainage- und Entwässerungssystemen. Sie verlegen Rohre oder Leitungen, um den Boden einer bestimmten Struktur zu trocknen und damit drohendes Grundwasser abzuhalten. Diese Arbeiten erfolgen in der Regel unter Straßenbelag und in Kellern.",Drainagearbeiter
Dramaturg,"Dramaturgen lesen neue Theaterstücke und Werke und schlagen sie dem Regisseur und/oder der künstlerischen Leitung eines Theaters zur Aufführung vor. Sie sammeln Unterlagen über das Werk, den Autor, die behandelten Probleme, den historischen Hintergrund und die beschriebenen Umgebungen. Sie nehmen auch an der Analyse von Themen, Charakteren, dramatischem Aufbau und anderen Fragen teil.",Ballett- und Tanzdramaturgin|Ballett- und Tanzdramaturg|Film- und Fernsehdramaturg|Musikdramaturg|Dramaturgin|Musikdramaturgin|Film- und Fernsehdramaturgin
Dramaturgin,"Dramaturgen lesen neue Theaterstücke und Werke und schlagen sie dem Regisseur und/oder der künstlerischen Leitung eines Theaters zur Aufführung vor. Sie sammeln Unterlagen über das Werk, den Autor, die behandelten Probleme, den historischen Hintergrund und die beschriebenen Umgebungen. Sie nehmen auch an der Analyse von Themen, Charakteren, dramatischem Aufbau und anderen Fragen teil.",Ballett- und Tanzdramaturgin|Ballett- und Tanzdramaturg|Film- und Fernsehdramaturg|Dramaturg|Musikdramaturg|Musikdramaturgin|Film- und Fernsehdramaturgin
Drechsler,"Drechsler verwenden eine Drehmaschine, um Holz von überschüssigem Material zu befreien. Das Werkstück wird von der Drehmaschine um die eigene Achse gedreht, damit es mit Formwerkzeugen in die gewünschte Form gebracht werden kann.",Drechslerin
Drechslerin,"Drechsler verwenden eine Drehmaschine, um Holz von überschüssigem Material zu befreien. Das Werkstück wird von der Drehmaschine um die eigene Achse gedreht, damit es mit Formwerkzeugen in die gewünschte Form gebracht werden kann.",Drechsler
Drehbuchautor,"Drehbuchautoren erstellen Drehbücher für Kinofilme oder Fernsehserien. Sie verfassen eine detaillierte Geschichte, die sich aus der Handlung, den Charakteren, den Dialogen und den Orten zusammensetzt.",Drehbuchautorin
Drehbuchautorin,"Drehbuchautoren erstellen Drehbücher für Kinofilme oder Fernsehserien. Sie verfassen eine detaillierte Geschichte, die sich aus der Handlung, den Charakteren, den Dialogen und den Orten zusammensetzt.",Drehbuchautor
Dreher,"Dreher übernehmen die manuelle Einrichtung und Bedienung einer Drehmaschine, mit der Metall auf die gewünschte Größe und Form zugeschnitten wird. Hierzu wird ein stufenloses Getriebe oder ein Schaltgetriebe verwendet, das die Arbeitsspindel mit einer variablen Drehzahl antreibt, sodass das Metallwerkstück in Drehung versetzt und geschnitten werden kann. Dreher überprüfen die Drehmaschine auf Abnutzungserscheinungen und übernehmen die Nachbearbeitung der Werkstücke.",Zerspanungsmechaniker Fachrichtung Drehtechnik|Zerspanungsmechanikerin Fachrichtung Drehtechnik|Dreherin
Dreherin,"Dreher übernehmen die manuelle Einrichtung und Bedienung einer Drehmaschine, mit der Metall auf die gewünschte Größe und Form zugeschnitten wird. Hierzu wird ein stufenloses Getriebe oder ein Schaltgetriebe verwendet, das die Arbeitsspindel mit einer variablen Drehzahl antreibt, sodass das Metallwerkstück in Drehung versetzt und geschnitten werden kann. Dreher überprüfen die Drehmaschine auf Abnutzungserscheinungen und übernehmen die Nachbearbeitung der Werkstücke.",Zerspanungsmechaniker Fachrichtung Drehtechnik|Zerspanungsmechanikerin Fachrichtung Drehtechnik|Dreher
Drehortmanager,"Drehortmanager sind für die Beschaffung von Drehorten außerhalb des Studios sowie für die gesamte damit verbundene Logistik zuständig. Sie verhandeln über die Nutzung dieser Orte, die sie während der Dreharbeiten organisieren und pflegen. Drehortmanager sorgen für die Sicherheit und den Schutz der Filmcrew am Set.",Locationscout|Location Manager|Drehortmanagerin
Drehortmanagerin,"Drehortmanager sind für die Beschaffung von Drehorten außerhalb des Studios sowie für die gesamte damit verbundene Logistik zuständig. Sie verhandeln über die Nutzung dieser Orte, die sie während der Dreharbeiten organisieren und pflegen. Drehortmanager sorgen für die Sicherheit und den Schutz der Filmcrew am Set.",Locationscout|Drehortmanager|Location Manager
Dressman,"Mannequins/Dressmen tragen dazu bei, Produkte wie Bekleidung, Kosmetika und Accessoires zu vermarkten, indem sie diese Journalisten, Fotografen und dem Publikum auf dem Laufsteg vorführen. Sie müssen stets auf ihr Äußeres bedacht sein. Sie müssen fotogen sein und vor Kameras die richtige Haltung einnehmen.",Mannequin|Model|Fotomodell
Drohnenführer,"Drohnenführer/innen steuern unbemannte Luftfahrzeuge aus der Ferne. Sie navigieren Drohnen und aktivieren andere Geräte wie Kameras, Sensoren wie LIDAR zur Entfernungsmessung oder andere Instrumente.",Pilotin eines ferngesteuerten Flugzeugs (RPA)|ziviler Drohnenbetreiber|Drohnenbetreiberin|unbemannter Flugzeugpilot|Drohnenbetreiber|Pilotin für unbemannte Luftfahrzeuge (UAVs)|Pilot für unbemannte Luftfahrzeuge (UAVs)|Pilot eines ferngesteuerten Flugzeugs (RPA)|Drohnenführerin|Betreiberin von unbemannten Luftfahrzeugen|zivile Drohnenbetreiberin|Betreiber von unbemannten Luftfahrzeugen
Drohnenführerin,"Drohnenführer/innen steuern unbemannte Luftfahrzeuge aus der Ferne. Sie navigieren Drohnen und aktivieren andere Geräte wie Kameras, Sensoren wie LIDAR zur Entfernungsmessung oder andere Instrumente.",Pilotin eines ferngesteuerten Flugzeugs (RPA)|Drohnenführer|ziviler Drohnenbetreiber|Drohnenbetreiberin|unbemannter Flugzeugpilot|Drohnenbetreiber|Pilotin für unbemannte Luftfahrzeuge (UAVs)|Pilot für unbemannte Luftfahrzeuge (UAVs)|Pilot eines ferngesteuerten Flugzeugs (RPA)|Betreiberin von unbemannten Luftfahrzeugen|zivile Drohnenbetreiberin|Betreiber von unbemannten Luftfahrzeugen
Drucker Tiefdruck,"Drucker Tiefdruck arbeiten mit Tiefdruckmaschinen, bei denen das Bild direkt auf eine Rolle graviert wird. Sie richten die Druckmaschine ein und überwachen sie während des Betriebs. Dabei kümmern sie sich um die Sicherheit und beheben auftretende Probleme.",Tiefdrucker|Druckerin Tiefdruck|Tiefdruckerin
Druckerin Tiefdruck,"Drucker Tiefdruck arbeiten mit Tiefdruckmaschinen, bei denen das Bild direkt auf eine Rolle graviert wird. Sie richten die Druckmaschine ein und überwachen sie während des Betriebs. Dabei kümmern sie sich um die Sicherheit und beheben auftretende Probleme.",Tiefdrucker|Drucker Tiefdruck|Tiefdruckerin
Druckvorlagenhersteller,"Druckvorlagenhersteller bearbeiten Metallplatten so, dass sie als Vorlage für verschiedene Druckprozesse und Medien verwendet werden können. Die Druckvorlagen werden in der Regel im Verfahren der digitalen Druckplattenbelichtung per Laser belichtet, können aber auch durch das Aufbringen von Emulsionen auf die Druckplatte hergestellt werden.",Reprohersteller|Lithograf|Reproherstellerin|Lithografin|Druckvorlagenherstellerin
Druckvorlagenherstellerin,"Druckvorlagenhersteller bearbeiten Metallplatten so, dass sie als Vorlage für verschiedene Druckprozesse und Medien verwendet werden können. Die Druckvorlagen werden in der Regel im Verfahren der digitalen Druckplattenbelichtung per Laser belichtet, können aber auch durch das Aufbringen von Emulsionen auf die Druckplatte hergestellt werden.",Reprohersteller|Lithograf|Reproherstellerin|Lithografin|Druckvorlagenhersteller
Druckvorstufen-Mitarbeiter,"Druckvorstufen-Mitarbeiter stellen einen druckverbindlichen Proof her, der zeigt, wie das Endprodukt aussehen wird. Bei vielen Druckaufträgen entscheidet der Kunde in diesem Stadium, ob das Erzeugnis wie geplant in den Druck gehen kann. Da für den Proof andere Druckverfahren verwendet werden als im endgültigen Druckverfahren, stellen Proofs immer eine Annäherung dar.",Druckvorstufen-Mitarbeiterin
Druckvorstufen-Mitarbeiterin,"Druckvorstufen-Mitarbeiter stellen einen druckverbindlichen Proof her, der zeigt, wie das Endprodukt aussehen wird. Bei vielen Druckaufträgen entscheidet der Kunde in diesem Stadium, ob das Erzeugnis wie geplant in den Druck gehen kann. Da für den Proof andere Druckverfahren verwendet werden als im endgültigen Druckverfahren, stellen Proofs immer eine Annäherung dar.",Druckvorstufen-Mitarbeiter
DTP-Fachkraft,"DTP-Fachkräfte verarbeiten unter Verwendung von Fotosetzmaschinen Bilder und grafische Vorlagen. Sie optimieren die Vorlagen, um das bestmögliche Ergebnis zu erzielen, indem sie die richtige Anordnung von Text und Bild auf dem Druckbogen festlegen. Das Produkt wird dann auf Fotopapier oder Film übertragen.",Desktop-Publisher|Layouterin|Layouter|Bildbearbeiter|Desktop-Publisherin|Bildbearbeiterin
Düngemittelmischer,"Düngemittelmischer bedienen und warten Maschinen, die chemische Stoffe mischen, um Düngemittel herzustellen, wobei sicherzustellen ist, dass das Endprodukt den Spezifikationen entspricht.",Düngermischerin|Düngemittelmaschinenführerin|Düngemittelmaschinenführer|Düngerfabrikationsarbeiterin|Düngemittelmischerin|Düngerfabrikationsarbeiter|Kunstdüngerlabortechniker|Düngermischer|Kunstdüngerlabortechnikerin
Düngemittelmischerin,"Düngemittelmischer bedienen und warten Maschinen, die chemische Stoffe mischen, um Düngemittel herzustellen, wobei sicherzustellen ist, dass das Endprodukt den Spezifikationen entspricht.",Düngermischerin|Düngemittelmaschinenführerin|Düngemittelmaschinenführer|Düngerfabrikationsarbeiterin|Düngerfabrikationsarbeiter|Kunstdüngerlabortechniker|Düngermischer|Düngemittelmischer|Kunstdüngerlabortechnikerin
Duftchemiker,"Duftchemiker/Duftchemikerinnen entwickeln und verbessern chemische Düfte, indem sie Duftstoffe und deren Inhaltsstoffe formulieren, testen und analysieren, damit die Produktion den Kundenerwartungen und -bedürfnissen gerecht wird.",Duftchemikerin
Duftchemikerin,"Duftchemiker/Duftchemikerinnen entwickeln und verbessern chemische Düfte, indem sie Duftstoffe und deren Inhaltsstoffe formulieren, testen und analysieren, damit die Produktion den Kundenerwartungen und -bedürfnissen gerecht wird.",Duftchemiker
Duroplastarbeiter,"Duroplastarbeiter bearbeiten Kunststofferzeugnisse mithilfe von Maschinen, wie Öfen oder Flammenhärtemaschinen, zum Temperieren, Härten oder für Wärmebehandlungen. Sie richten die Maschine ein und lesen die Produktionsanweisungen, um die Ofentemperatur zu bestimmen. Duroplastarbeiter entfernen Produkte aus Maschinen, lassen sie abkühlen, untersuchen sie und testen die Produkte, um festzustellen, ob sie den Spezifikationen entsprechen.",Duroplastarbeiterin|Kunststofftemperer|Kunststofftempererin
Duroplastarbeiterin,"Duroplastarbeiter bearbeiten Kunststofferzeugnisse mithilfe von Maschinen, wie Öfen oder Flammenhärtemaschinen, zum Temperieren, Härten oder für Wärmebehandlungen. Sie richten die Maschine ein und lesen die Produktionsanweisungen, um die Ofentemperatur zu bestimmen. Duroplastarbeiter entfernen Produkte aus Maschinen, lassen sie abkühlen, untersuchen sie und testen die Produkte, um festzustellen, ob sie den Spezifikationen entsprechen.",Duroplastarbeiter|Kunststofftemperer|Kunststofftempererin
E-Business-Manager,"E-Business-Manager erstellen und verwirklichen den Strategieplan eines Unternehmens für den Online-Vertrieb von Produkten und Dienstleistungen. Außerdem verbessern sie die Integrität der Daten und optimieren die Platzierung von Online-Tools sowie die Markenkontakte. Sie überwachen den Absatz von Unternehmen, die ihre Produkte über das Internet verkaufen. In Zusammenarbeit mit den Teams für Marketing und Vertriebsmanagement setzen sie IKT-Tools ein, um die Verkaufsziele zu erreichen und den Geschäftspartnern präzise Informationen und Angebote zur Verfügung zu stellen.",E-Business-Leiterin|E-Business-Managerin|E-Business-Leiter
E-Business-Managerin,"E-Business-Manager erstellen und verwirklichen den Strategieplan eines Unternehmens für den Online-Vertrieb von Produkten und Dienstleistungen. Außerdem verbessern sie die Integrität der Daten und optimieren die Platzierung von Online-Tools sowie die Markenkontakte. Sie überwachen den Absatz von Unternehmen, die ihre Produkte über das Internet verkaufen. In Zusammenarbeit mit den Teams für Marketing und Vertriebsmanagement setzen sie IKT-Tools ein, um die Verkaufsziele zu erreichen und den Geschäftspartnern präzise Informationen und Angebote zur Verfügung zu stellen.",E-Business-Leiterin|E-Business-Leiter|E-Business-Manager
E-Learning-Architekt,"E-Learning-Architekten/E-Learning-Architektinnen legen in einer Organisation Ziele und Verfahren für die Anwendung von Lerntechnologien und für die Schaffung einer diesen Zielen und Verfahren dienlichen Infrastruktur fest. Sie überprüfen den bestehenden Lehrplan der Kurse und die Möglichkeit der Online-Bereitstellung und empfehlen Änderungen des Lehrplans, um ihn an die Online-Bereitstellung anzupassen.",E-Learning-Entwicklerin|E-Learning-Entwickler|E-Learning-Architektin
E-Learning-Architektin,"E-Learning-Architekten/E-Learning-Architektinnen legen in einer Organisation Ziele und Verfahren für die Anwendung von Lerntechnologien und für die Schaffung einer diesen Zielen und Verfahren dienlichen Infrastruktur fest. Sie überprüfen den bestehenden Lehrplan der Kurse und die Möglichkeit der Online-Bereitstellung und empfehlen Änderungen des Lehrplans, um ihn an die Online-Bereitstellung anzupassen.",E-Learning-Entwicklerin|E-Learning-Entwickler|E-Learning-Architekt
E-Learning-Autor,"E-Learning-Autoren/E-Learning-Autorinnen gestalten und entwickeln einfachere digitale Lerninhalte wie Referenzmaterialien, Folien, Beurteilungen, Screencasts, Interview-Videos und Podcasts. Sie schreiben und erstellen Inhalte für computergestütztes Lernen.",E-Learning-Entwicklerin|E-Learning-Entwickler|E-Learning-Autorin
E-Learning-Autorin,"E-Learning-Autoren/E-Learning-Autorinnen gestalten und entwickeln einfachere digitale Lerninhalte wie Referenzmaterialien, Folien, Beurteilungen, Screencasts, Interview-Videos und Podcasts. Sie schreiben und erstellen Inhalte für computergestütztes Lernen.",E-Learning-Entwicklerin|E-Learning-Entwickler|E-Learning-Autor
Edelmetallprüfer,"Edelmetallprüfer/Edelmetallprüferinnen prüfen und analysieren Edelmetalle wie Silber und Gold, um den Wert und die Eigenschaften der Bestandteile anhand von chemischen und physikalischen Verfahren zu bestimmen. Zudem separieren sie Edelmetalle oder andere Bestandteile von anderen Materialien.",Edelmetallprüferin|Edellmetallprüfer
Edelmetallprüferin,"Edelmetallprüfer/Edelmetallprüferinnen prüfen und analysieren Edelmetalle wie Silber und Gold, um den Wert und die Eigenschaften der Bestandteile anhand von chemischen und physikalischen Verfahren zu bestimmen. Zudem separieren sie Edelmetalle oder andere Bestandteile von anderen Materialien.",Edellmetallprüfer
Edelsteinfasser,Edelsteinfasser fügen mithilfe von Werkzeugen Diamanten und andere Edelsteine nach Anweisungen in Schmuckstücke ein. Die Fassung der Edelsteine hängt von ihrer Größe und ihrer Form ab.,Edelsteinfasserin|Juwelenfasserin|Schmucksteinfasser|Juwelenfasser|Schmucksteinfasserin
Edelsteinfasserin,Edelsteinfasser fügen mithilfe von Werkzeugen Diamanten und andere Edelsteine nach Anweisungen in Schmuckstücke ein. Die Fassung der Edelsteine hängt von ihrer Größe und ihrer Form ab.,Edelsteinfasser|Juwelenfasserin|Schmucksteinfasser|Juwelenfasser|Schmucksteinfasserin
